correspondence_id,historical_record_id,historical_form_diplomatic,historical_matched_component,historical_printed_page,historical_graphic_key,modern_record_id,modern_headword,modern_matched_component,modern_graphic_key,modern_classification,modern_translation_raw,modern_source_code,edit_distance,similarity,relation_type,candidate_status,modern_commit,human_reviewed,review_decision
RHD-PCORR-000057,RHD-S1809-01750,Cugué,Cugué,356,cugue,RD-000569,Cuhué,Cuhué,cuhue,S,El tiempo de calor (antes de las lluvias),SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000058,RHD-S1809-01756,Cuná,Cuná,356,cuna,RD-000807,Chuná,Chuná,chuna,S,Higuera,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000059,RHD-S1809-01756,Cuná,Cuná,356,cuna,RD-000513,Coná,Coná,cona,Vt,Tostar,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000060,RHD-S1809-01756,Cuná,Cuná,356,cuna,RD-000514,Coná,Coná,cona,S,Sal,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000061,RHD-S1809-01764,Cutsi,Cutsi,356,cutsi,RD-000601,Cursi,Cursi,cursi,S,Cruz,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000062,RHD-S1809-01764,Cutsi,Cutsi,356,cutsi,RD-000614,Cusí,Cusí,cusi,S,Palo,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000063,RHD-S1809-01764,Cutsi,Cutsi,356,cutsi,RD-000615,Cusí,Cusí,cusi,Vt,Tostar (los elotes o las mazorcas),SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000064,RHD-S1809-01797,Galá,Galá,356,gala,RD-000849,Gará,Gará,gara,"Adj, adv",1. bueno (sabroso) 2. bien (sano),SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000065,RHD-S1809-01798,Galabé,Galabé,356,galabe,RD-000851,Garabé,Garabé,garabe,Adj,"Muy bien, muy bueno, fino, perfecto",SRC-02,1,0.8333,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000066,RHD-S1809-01802,Gané,Gané,357,gane,RD-000859,Garé,Garé,gare,Vt,"Amar, querer (véase 2caré)",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000067,RHD-S1809-01871,"Halí, oder harí",harí,358,hari,RD-000907,Huari,Huari,huari,S esp,"Huari (reg.), cesta, canasta",SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000068,RHD-S1809-01881,Hiáſi,Hiáſi,358,hiasi,RD-000923,Huasí,Huasí,huasi,S,Cola,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000069,RHD-S1809-01881,Hiáſi,Hiáſi,358,hiasi,RD-000924,Huasí,Huasí,huasi,S,Suegra,SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000070,RHD-S1809-01902,Húli,Húli,358,huli,RD-000991,Huíi,Huíi,huii,Vt,"Lanzar, amarrar (un animal)",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000071,RHD-S1809-01903,Huli,Huli,358,huli,RD-000991,Huíi,Huíi,huii,Vt,"Lanzar, amarrar (un animal)",SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000072,RHD-S1809-01914,Iché,Iché,358,iche,RD-001058,Ichá,Ichá,icha,Vt,Sembrar,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000073,RHD-S1809-01914,Iché,Iché,358,iche,RD-001062,Ichí,Ichí,ichi,S,Matas de maíz,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000074,RHD-S1809-01922,Igue,Igue,359,igue,RD-001101,Iqué,Iqué,ique,Vt,Ventilar,SRC-02,1,0.75,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
RHD-PCORR-000075,RHD-S1809-01929,Imari,Imari,359,imari,RD-001092,Imuri,Imuri,imuri,S,"Canasta (con tapadera), petaca",SRC-02,1,0.8,probable_graphic_correspondence,machine_candidate,156921f4edfe27d784edc1e6444867eaa368f2e5,false,not_assessed
