attestation_id,de_rar_record_id,de_rar_headword_diplomatic,de_rar_printed_page,rar_de_record_id,rar_de_component_index,rar_de_form_diplomatic,rar_de_german_gloss_local,rar_de_printed_page,graphic_key,short_form_warning,reciprocal_german_support,reciprocal_support_type,human_reviewed
RHD-IATT-000781,RHD-S1809-01324,Taufen,346,RHD-S1809-02152,1,Pagotúgameke,Ein Getaufter,363,pagotugameke,False,False,none,False
RHD-IATT-000782,RHD-S1809-01325,Teppich,346,RHD-S1809-00060,1,Peráca,Decke,363,peraca,False,False,none,False
RHD-IATT-000783,RHD-S1809-01327,Teufel,346,RHD-S1809-01647,1,Aitáruc,Teufel,353,aitaruc,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000784,RHD-S1809-01327,Teufel,346,RHD-S1809-02367,1,Telégatigámeke,"der unten iſt, ſ",367,telegatigameke,False,False,none,False
RHD-IATT-000785,RHD-S1809-01330,Thun,346,RHD-S1809-00046,1,Jolá,Machen,359,jola,False,False,none,False
RHD-IATT-000786,RHD-S1809-01331,Tief,346,RHD-S1809-02247,1,Rochcó,Es iſt tief,365,rochco,False,True,german_headword_gloss_containment,False
RHD-IATT-000787,RHD-S1809-01332,Toben,346,RHD-S1809-01995,1,Loguí,Rasen,360,logui,False,False,none,False
RHD-IATT-000788,RHD-S1809-01333,Tochter,346,RHD-S1809-00031,1,Aguila,Tochter,353,aguila,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000789,RHD-S1809-01334,Todt,346,RHD-S1809-02032,1,Mukiki,Tod,361,mukiki,False,False,none,False
RHD-IATT-000790,RHD-S1809-01335,Todtſeyn,346,RHD-S1809-02036,1,Mukúameke,Todt,361,mukuameke,False,False,none,False
RHD-IATT-000791,RHD-S1809-01336,Tödten,346,RHD-S1809-02009,1,Meá,Tödten,361,mea,True,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000792,RHD-S1809-01336,Tödten,346,RHD-S1809-02011,1,Melirúgameke,Geschlachtet,361,melirugameke,False,False,none,False
RHD-IATT-000793,RHD-S1809-01337,Todtenkopf,346,RHD-S1809-02018,1,Moorápera,Todtenkopf,361,moorapera,False,True,exact_normalized_german_headword_gloss_match,False
RHD-IATT-000794,RHD-S1809-01339,Trächtig,346,RHD-S1809-02193,1,Potſchirúgameke,Schwanger,364,potschirugameke,False,False,none,False
RHD-IATT-000795,RHD-S1809-01341,Tragen,346,RHD-S1809-02148,1,Paâ,Forttragen,363,paa,True,False,none,False
