triage_id,source_candidate_id,de_rar_record_id,de_rar_headword_diplomatic,candidate_span_diplomatic,graphic_key,printed_page,profile_class,machine_signal_confidence,review_priority_tier,profile_log_likelihood_ratio,german_anchor_token_ratio,nearest_rar_de_graphic_key,nearest_rar_de_edit_distance,nearest_rar_de_similarity,human_reviewed,decision
RHD-RTRI-001118,RHD-RSPAN-000666,RHD-S1809-00805,Kochen,Dieſe Zuſammenſetzung geſchieht,diese zusammensetzung geschieht,326,mixed_or_uncertain_profile,low_machine_signal,4,-1.1148,0.0,,,0.0,False,not_assessed
RHD-RTRI-001119,RHD-RSPAN-000117,RHD-S1809-00173,Bär,Ein verwundeter Bär,ein verwundeter bar,306,mixed_or_uncertain_profile,low_machine_signal,4,-1.1154,0.667,,,0.0,False,not_assessed
RHD-RTRI-001120,RHD-RSPAN-001086,RHD-S1809-01277,Sterblich,was vergänglich iſt,was verganglich ist,344,german_context_profile_signal,high_machine_context_signal,4,-1.1183,1.0,,,0.0,False,not_assessed
RHD-RTRI-001121,RHD-RSPAN-001297,RHD-S1809-01501,Voraus,Mehr vorwärts,mehr vorwarts,349,german_context_profile_signal,high_machine_context_signal,4,-1.1199,1.0,massisipoa,5,0.615,False,not_assessed
RHD-RTRI-001122,RHD-RSPAN-000624,RHD-S1809-00758,Ich,Ich ſelbſt,ich selbst,326,german_context_profile_signal,high_machine_context_signal,4,-1.1201,1.0,ibe hoinela,5,0.545,False,not_assessed
RHD-RTRI-001123,RHD-RSPAN-000743,RHD-S1809-00887,Links,linker Hand,linker hand,330,german_context_profile_signal,high_machine_context_signal,4,-1.1213,1.0,lessiameke,5,0.545,False,not_assessed
RHD-RTRI-001124,RHD-RSPAN-000104,RHD-S1809-00159,Backſtube,und hernach geſtanden,und hernach gestanden,306,mixed_or_uncertain_profile,low_machine_signal,4,-1.124,0.667,,,0.0,False,not_assessed
RHD-RTRI-001125,RHD-RSPAN-000202,RHD-S1809-00280,Blutsfreund,Mein Blutsfreund,mein blutsfreund,309,german_context_profile_signal,high_machine_context_signal,4,-1.1249,1.0,mukiiatiameke,5,0.688,False,not_assessed
RHD-RTRI-001126,RHD-RSPAN-001037,RHD-S1809-01227,Spiel,daß die Läufer,dass die laufer,342,german_context_profile_signal,high_machine_context_signal,4,-1.125,1.0,,,0.0,False,not_assessed
RHD-RTRI-001127,RHD-RSPAN-000905,RHD-S1809-01085,Schaf,Lamm,lamm,338,german_context_profile_signal,high_machine_context_signal,4,-1.126,1.0,laca,2,0.5,False,not_assessed
RHD-RTRI-001128,RHD-RSPAN-001110,RHD-S1809-01297,Stute,Lamm,lamm,345,german_context_profile_signal,high_machine_context_signal,4,-1.126,1.0,laca,2,0.5,False,not_assessed
RHD-RTRI-001129,RHD-RSPAN-001334,RHD-S1809-01534,Weib,Ledige Weibſperſon,ledige weibsperson,350,mixed_or_uncertain_profile,low_machine_signal,4,-1.1266,0.5,,,0.0,False,not_assessed
RHD-RTRI-001130,RHD-RSPAN-000094,RHD-S1809-00144,Aufſpielen,Man ſoll aufſpielen,man soll aufspielen,304,german_context_profile_signal,high_machine_context_signal,4,-1.1297,1.0,,,0.0,False,not_assessed
RHD-RTRI-001131,RHD-RSPAN-000322,RHD-S1809-00414,Ente,einer ganzen Zwiebel,einer ganzen zwiebel,314,mixed_or_uncertain_profile,low_machine_signal,4,-1.13,0.333,,,0.0,False,not_assessed
RHD-RTRI-001132,RHD-RSPAN-000264,RHD-S1809-00337,Dorfrichter,Stab,stab,312,german_context_profile_signal,high_machine_context_signal,4,-1.1344,1.0,s-ca,3,0.25,False,not_assessed
RHD-RTRI-001133,RHD-RSPAN-000728,RHD-S1809-00875,Mädchen,und bleiben unauslöſchlich,und bleiben unausloschlich,330,mixed_or_uncertain_profile,low_machine_signal,4,-1.1376,0.667,,,0.0,False,not_assessed
RHD-RTRI-001134,RHD-RSPAN-000657,RHD-S1809-00790,Kind,Klein Kind,klein kind,326,german_context_profile_signal,high_machine_context_signal,4,-1.139,1.0,kachela,5,0.5,False,not_assessed
RHD-RTRI-001135,RHD-RSPAN-001348,RHD-S1809-01541,Waizen,türkiſcher,turkischer,350,german_context_profile_signal,high_machine_context_signal,4,-1.1408,1.0,t-fligua,5,0.5,False,not_assessed
RHD-RTRI-001136,RHD-RSPAN-000892,RHD-S1809-01066,Salben,Geſalbt,gesalbt,338,mixed_or_uncertain_profile,low_machine_signal,4,-1.1452,0.0,gala,4,0.429,False,not_assessed
