recovery_id,graphic_key,surface_forms,occurrence_count,distinct_de_rar_record_count,de_rar_headwords,printed_pages,best_profile_class,best_profile_log_likelihood_ratio,nearest_rar_de_graphic_key,nearest_rar_de_similarity,evidence_grade,human_reviewed,decision
RHD-RREC-000095,pauguina,Pauguína,1,1,Schwitzen,340,strong_raramuri_profile_signal,2.3398,pauguila,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000096,tschitsula,Tſchitſúla,1,1,Scheibe,338,strong_raramuri_profile_signal,2.3043,tschirula,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000097,tselsiguati,Tſelſiguati,1,1,Traurig,346,strong_raramuri_profile_signal,2.2973,telsiguati,0.909,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000098,gualireke,Gualiréke,1,1,Schleunig,339,strong_raramuri_profile_signal,2.2931,gualineke,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000099,tschapirugameke,tſchapirúgameke,1,1,Ergreifen,315,strong_raramuri_profile_signal,2.2892,tschirulameke,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000100,tschicula,Tſchicúla,1,1,Runde,338,strong_raramuri_profile_signal,2.2469,tschiculi,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000101,pouguaca s,Pouguáca ſ,1,1,Schaf,338,strong_raramuri_profile_signal,2.2456,pouguaca,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000102,natsila,Natſíla,1,1,Lichtputze,330,strong_raramuri_profile_signal,2.2401,nassila,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000103,canapa,canapa,1,1,Vollenden,349,strong_raramuri_profile_signal,2.2293,cajenapa,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000104,guitlona,Guitlóna,1,1,Waſchen,350,strong_raramuri_profile_signal,2.2228,guitloma,0.875,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000105,tschucuameke,tſchucúameke,1,1,Kriechen,327,strong_raramuri_profile_signal,2.2194,teculuameke,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000106,mujaca,Mujaca,1,1,Arſch,304,strong_raramuri_profile_signal,2.2171,mujaba,0.833,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000107,uli,Uli,1,1,Stillhalten,344,strong_raramuri_profile_signal,2.2142,uili,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000108,tschutarugameke,Tſchutárugameke,1,1,Scharf,338,strong_raramuri_profile_signal,2.2068,tschirulameke,0.733,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000109,naregui,Naregui,1,1,Vergeltung,347,strong_raramuri_profile_signal,2.1948,nategui,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000110,etschagueameke,Etſchaguéameke,1,1,Bärtig,307,strong_raramuri_profile_signal,2.1809,etschaguoameke,0.929,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000111,simiameke,Simiameke,1,1,Abgehen,301,strong_raramuri_profile_signal,2.1785,samiameke,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000112,bassirujameke,baſſirújameke,1,1,Sieden,341,strong_raramuri_profile_signal,2.1751,bassirugameke,0.923,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000113,ataca,Atáca,1,1,Armbruſt,304,strong_raramuri_profile_signal,2.1688,acaca,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000114,khutugala,Khutugála,1,1,Baumfrüchte,307,strong_raramuri_profile_signal,2.1512,khutagala,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000115,pougua nasseameke,Pouguá naſſéameke,1,1,Schafhirt,338,strong_raramuri_profile_signal,2.1469,pitschaburameke,0.706,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000116,sapeameke,Sapéameke,1,1,Fleiſchig,318,strong_raramuri_profile_signal,2.1449,saateameke,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000117,tsetijolameke,Tſetijolámeke,1,1,Verbrecher,347,strong_raramuri_profile_signal,2.1436,tsetijolajameke,0.867,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000118,tscuapiboli,Tſcuapiboli,1,1,Verlobt,348,strong_raramuri_profile_signal,2.1408,tschapiboli,0.909,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000119,nslagui,Nſlagui,1,1,Heulen,324,strong_raramuri_profile_signal,2.1375,nalagui,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000120,pilepilo,Pilépilo,1,1,Einzig,314,strong_raramuri_profile_signal,2.1345,pilepi,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000121,naguossa,Naguoſſa,1,1,Viermal,349,strong_raramuri_profile_signal,2.1276,naguossani,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000122,bajeliruc,Bajéliruc,1,1,Rufen,338,strong_raramuri_profile_signal,2.1092,balaliruc,0.778,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000123,tanarugameke,tanarúgameke,1,1,Zeugen,352,strong_raramuri_profile_signal,2.1036,taragameke,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000124,tschutschi,Tſchutſchí,1,1,Saugen,338,strong_raramuri_profile_signal,2.0981,tschitschi,0.9,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000125,cajenamela,cajenamela,1,1,Vollenden,349,strong_raramuri_profile_signal,2.0941,cajenapa,0.7,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000126,baicaraje,Baicáraje,1,1,Dritter,313,strong_raramuri_profile_signal,2.0913,baicataje,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000127,cuvessali,Cuveſſali,1,1,Sommer,342,strong_raramuri_profile_signal,2.0861,cuvesali,0.889,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000128,tutschirugameke,tutſchirúgameke,1,1,Zerreiben,352,strong_raramuri_profile_signal,2.086,tschirulameke,0.8,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000129,cugnila,Cugnila,1,1,Hülfe,325,strong_raramuri_profile_signal,2.0816,cuguila,0.857,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000130,bassiameke,Baſſiameke,1,1,Zeitig,352,strong_raramuri_profile_signal,2.0786,bajeameke,0.7,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000131,tschapiruc,Tſchapirúc,1,1,Ergreifen,315,strong_raramuri_profile_signal,2.0777,tschapi,0.7,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000132,bassatiameke,Baſſatiameke,1,1,Urbar,347,strong_raramuri_profile_signal,2.0773,bassaraleke,0.75,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000133,naguosani,Naguóſáni,1,1,Vierter,349,strong_raramuri_profile_signal,2.0765,naguossani,0.9,B_machine_documentary_signal,False,not_assessed
RHD-RREC-000134,nassiameke,Naſsiameke,1,1,Faul,316,strong_raramuri_profile_signal,2.0761,nesseameke,0.8,B_machine_documentary_signal,False,not_assessed
