member_id,graphic_key,surface_forms,exclusive_suffix_class,mechanically_stripped_suffix,mechanically_stripped_base,source_layers,printed_pages,german_contexts,internal_concordance_count,internal_reciprocal_german_support_count,human_reviewed
RHD-AMEKE-00124,tepulirugameke,Tepulirúgameke,ugameke,ugameke,tepulir,DE-RAR-residual-recovery,301,Abhauen,0,0,False
RHD-AMEKE-00125,tessiguajameke,Teſſiguájameke,jameke,jameke,tessigua,DE-RAR-residual-recovery,340,Schwermüthig,0,0,False
RHD-AMEKE-00126,thulameke,Thulämeke | Thúlameke,ameke_other,ameke,thul,DE-RAR-residual-recovery,319 | 326,Froſtig | Kalt,0,0,False
RHD-AMEKE-00127,tlestatacameke,Tleſtatäcameke,ameke_other,ameke,tlestatac,DE-RAR-residual-recovery,338,Roth,0,0,False
RHD-AMEKE-00128,tlestataccameke,Tlestatáccameke,ameke_other,ameke,tlestatacc,RAR-DE,368,oder Stácameke,0,0,False
RHD-AMEKE-00129,tosacameke,Toſácameke,ameke_other,ameke,tosac,RAR-DE,367,Weiß,1,1,False
RHD-AMEKE-00130,tsainijolajameke,tſainijolájameke,jameke,jameke,tsainijola,RAR-DE,367,Der Böſes thut,1,0,False
RHD-AMEKE-00131,tsanijameke,Tſaníjameke,jameke,jameke,tsani,DE-RAR-residual-recovery,308,Bejahen,0,0,False
RHD-AMEKE-00132,tschapirugameke,tſchapirúgameke,ugameke,ugameke,tschapir,DE-RAR-residual-recovery,315,Ergreifen,0,0,False
RHD-AMEKE-00133,tschiperameke,Tſchiperameke,ameke_other,ameke,tschiper,RAR-DE,367,Fein,3,0,False
RHD-AMEKE-00134,tschipugameke,Tſchipúgameke,ugameke,ugameke,tschip,DE-RAR-residual-recovery,344,Stinken,0,0,False
RHD-AMEKE-00135,tschirulameke,Tſchirúlameke,ameke_other,ameke,tschirul,RAR-DE,368,Rund,0,0,False
RHD-AMEKE-00136,tschitschiameke,Tſchitſchiameke,iameke,iameke,tschitsch,RAR-DE,368,Säugling,1,1,False
RHD-AMEKE-00137,tschitulameke,Tſchitulámeke | tſchitúlameke,ameke_other,ameke,tschitul,DE-RAR-residual-recovery,328 | 338,Kugelförmig | Rund,0,0,False
RHD-AMEKE-00138,tschucuameke,tſchucúameke,ameke_other,ameke,tschucu,DE-RAR-residual-recovery,327,Kriechen,0,0,False
RHD-AMEKE-00139,tschulugeameke,Tschulugéameke,ameke_other,ameke,tschuluge,RAR-DE,368,Hungrig,0,0,False
RHD-AMEKE-00140,tschutarugameke,Tſchutárugameke,ugameke,ugameke,tschutar,DE-RAR-residual-recovery,338,Scharf,0,0,False
RHD-AMEKE-00141,tschutscheliameke,Tſchutſcheliameke,iameke,iameke,tschutschel,DE-RAR-residual-recovery,338,Salben,0,0,False
RHD-AMEKE-00142,tsetijolajameke,Tſetijolájameke,jameke,jameke,tsetijola,RAR-DE,368,Uebelthäter,2,0,False
RHD-AMEKE-00143,tsetijolameke,Tſetijolámeke,ameke_other,ameke,tsetijol,DE-RAR-residual-recovery,347,Verbrecher,0,0,False
RHD-AMEKE-00144,tutschirugameke,tutſchirúgameke,ugameke,ugameke,tutschir,DE-RAR-residual-recovery,352,Zerreiben,0,0,False
RHD-AMEKE-00145,uelameke,Uélameke,ameke_other,ameke,uel,RAR-DE,368,Altes Weib,0,0,False
RHD-AMEKE-00146,upeameke,Upéameke,ameke_other,ameke,upe,RAR-DE,368,"Ein Verheyratheter, Ehemann",4,0,False
RHD-AMEKE-00147,veniameke,Veníameke,iameke,iameke,ven,RAR-DE,368,Zahm,1,1,False
