member_id,record_id,exclusive_suffix_class,analysis_token_key,source_direction,gloss_evidence_tier,source_verified_german_gloss,machine_parsed_german_context,german_context_for_analysis,functional_surface_proxy,german_documentary_domain_proxies,human_reviewed
RHD-AMEKE-00064,RHD-S1809-02069,jameke,najujameke,RAR-DE,source_verified_rar_de_article_gloss,Ein Kranker,,Ein Kranker,multiword_or_ambiguous_proxy,state_condition_proxy | human_person_agent_proxy,False
RHD-AMEKE-00067,RHD-S1809-02111,ameke_other,nesseameke,RAR-DE,source_verified_rar_de_article_gloss,Hüter,,Hüter,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00068,RHD-S1809-02112,jameke,neteijameke,RAR-DE,source_verified_rar_de_article_gloss,Schöpfer,,Schöpfer,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00073,RHD-S1809-02143,ameke_other,ossanaguoameke,RAR-DE,source_verified_rar_de_article_gloss,Der Achte,,Der Achte,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00074,RHD-S1809-02145,ameke_other,otisherameke,RAR-DE,source_verified_rar_de_article_gloss,Ein alter Mann,,Ein alter Mann,multiword_or_ambiguous_proxy,human_person_agent_proxy,False
RHD-AMEKE-00076,RHD-S1809-02152,ugameke,pagotugameke,RAR-DE,source_verified_rar_de_article_gloss,Ein Getaufter,,Ein Getaufter,multiword_or_ambiguous_proxy,human_person_agent_proxy,False
RHD-AMEKE-00078,RHD-S1809-02154,ameke_other,pamagueameke,RAR-DE,source_verified_rar_de_article_gloss,Grün,,Grün,other_single_word_proxy,color_property_proxy,False
RHD-AMEKE-00079,RHD-S1809-02157,ugameke,parugameke,RAR-DE,source_verified_rar_de_article_gloss,Fortgetragenes,,Fortgetragenes,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00082,RHD-S1809-02184,ameke_other,pitschaburameke,RAR-DE,source_verified_rar_de_article_gloss,Verschnitten,,Verschnitten,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00084,RHD-S1809-02193,ugameke,potschirugameke,RAR-DE,source_verified_rar_de_article_gloss,Schwanger,,Schwanger,other_single_word_proxy,state_condition_proxy,False
RHD-AMEKE-00092,RHD-S1809-02251,ameke_other,rosacameke,RAR-DE,source_verified_rar_de_article_gloss,oder toſácameke,,oder toſácameke,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00094,RHD-S1809-02255,ameke_other,saateameke,RAR-DE,source_verified_rar_de_article_gloss,Sandig,,Sandig,property_surface_proxy,other_or_unclassified,False
RHD-AMEKE-00096,RHD-S1809-02258,iameke,samiameke,RAR-DE,source_verified_rar_de_article_gloss,Feucht,,Feucht,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00098,RHD-S1809-02261,iameke,satiameke,RAR-DE,source_verified_rar_de_article_gloss,Anfechter,,Anfechter,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00099,RHD-S1809-02265,jameke,schiojameke,RAR-DE,source_verified_rar_de_article_gloss,Blau,,Blau,other_single_word_proxy,color_property_proxy,False
RHD-AMEKE-00100,RHD-S1809-02268,iameke,schugiameke,RAR-DE,source_verified_rar_de_article_gloss,"Es ist ausgegangen, hat abgenommen",,"Es ist ausgegangen, hat abgenommen",multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00102,RHD-S1809-02275,iameke,seliameke,RAR-DE,source_verified_rar_de_article_gloss,So nennen ſie ihren Dorfrichter,,So nennen ſie ihren Dorfrichter,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00103,RHD-S1809-02283,ugameke,sikirugameke,RAR-DE,source_verified_rar_de_article_gloss,Zerhauenes,,Zerhauenes,other_single_word_proxy,other_or_unclassified,False
RHD-AMEKE-00106,RHD-S1809-02466,ameke_other,stacameke,RAR-DE,source_verified_rar_de_article_gloss,oder Stácameke,,oder Stácameke,multiword_or_ambiguous_proxy,other_or_unclassified,False
RHD-AMEKE-00115,RHD-S1809-02329,ameke_other,tameke,RAR-DE,source_verified_rar_de_article_gloss,Wir,,Wir,other_single_word_proxy,other_or_unclassified,False
